Time (s),Vibration Amplitude (m)
0.0,-0.019080534777178998
0.016666666666666666,0.02050243362716622
0.03333333333333333,0.0538941060786343
0.05,0.07662225356893573
0.06666666666666667,0.07792283124228405
0.08333333333333333,0.06023005650633866
0.1,0.029109687127418224
0.11666666666666667,-0.00938469951931769
0.13333333333333333,-0.045011446271569604
0.15,-0.06969356819475554
0.16666666666666666,-0.07992530378678595
0.18333333333333332,-0.0683361211066701
0.2,-0.03722680908650346
0.21666666666666667,0.0044766064407333024
0.23333333333333334,0.04424174727392522
0.25,0.07078109957817379
0.26666666666666666,0.07983006815398007
0.2833333333333333,0.06533308181972503
0.3,0.03375677857244643
0.31666666666666665,-0.0035503672106011303
0.3333333333333333,-0.03936060080995411
0.35,-0.06707431493058916
0.36666666666666664,-0.07962855277470741
0.38333333333333336,-0.07448162225439442
0.4,-0.04365427396692503
0.4166666666666667,-0.006967041696486349
0.43333333333333335,0.03282535073099646
0.45,0.06426333082053728
0.4666666666666667,0.07934558730228748
0.48333333333333334,0.07088537479315886
0.5,0.0403591964650816
0.5166666666666667,-0.0008966903300552411
0.5333333333333333,-0.039138553535949125
0.55,-0.06693509271234113
0.5666666666666667,-0.07960362124726426
0.5833333333333334,-0.073672021291265
0.6,-0.05156089427046912
0.6166666666666667,-0.015138861137807467
0.6333333333333333,0.025136178450402637
0.65,0.057367091934227295
0.6666666666666666,0.07663246011014048
0.6833333333333333,0.00037741236503647315
0.7,-0.03802240576689835
0.7166666666666667,-0.06622882308772267
0.7333333333333333,-0.0794668538740154
0.75,-0.07556633374789962
0.7666666666666667,-0.05372468956338668
0.7833333333333333,-0.01638798988026787
0.8,0.02695706175682241
0.8166666666666667,0.06029683269218165
0.8333333333333334,0.07992641771209862
0.85,0.059459344025111216
0.8666666666666667,0.022715371243442282
0.8833333333333333,-0.021500151704639286
0.9,-0.05805851786498743
0.9166666666666666,-0.078425932538161
0.9333333333333333,-0.07538560828199171
0.95,-0.05450157067972617
0.9666666666666667,-0.00953691616028498
0.9833333333333333,0.03768566784136379
1.0,0.07057563337985259
1.0166666666666666,0.07998446422864582
1.0333333333333334,0.06604003460297986
1.05,0.029754472213902143
1.0666666666666667,-0.014236701110935755
1.0833333333333333,-0.05446736555713813
1.1,-0.077061319962259
1.1166666666666667,-0.07547051880926525
1.1333333333333333,-0.05047003101043055
1.15,-0.007403865002642051
1.1666666666666667,0.03315459396680169
1.1833333333333333,0.06676415770561915
1.2,0.07999829816410133
1.2166666666666666,0.0670690571623096
1.2333333333333334,0.0343841683701369
1.25,-0.019460877975404627
1.2666666666666666,-0.06144071391287317
1.2833333333333334,-0.07977468612478587
1.3,-0.06841308293508398
1.3166666666666667,-0.030848607001012465
1.3333333333333333,0.020112566278941736
1.35,-0.0562292936606702
1.3666666666666667,-0.022063768678092215
1.3833333333333333,0.022153127625996222
1.4,-0.06827744569872585
1.4166666666666667,-0.03923586996430794
1.4333333333333333,0.0013915952465157711
1.45,0.04366750239545057
1.4666666666666666,0.07326080386713058
1.4833333333333334,0.0792547830191169
1.5,0.06084592428718294
1.5166666666666666,0.024724218050192547
1.5333333333333334,-0.01634827528329178
1.55,-0.054869869544341164
1.5666666666666667,-0.0779836506038468
1.5833333333333333,-0.07472970563860336
1.6,-0.048782812498260775
1.6166666666666667,-0.007651445467169183
1.6333333333333333,0.04073293662259664
1.65,0.0728306978220175
1.6666666666666667,0.07965120535800493
1.6833333333333333,0.06253575529893456
1.7,0.02344146099318026
1.7166666666666666,-0.0176626906012099
1.7333333333333334,-0.05753420075106013
1.75,-0.07843414671560243
1.7666666666666666,-0.07509972448118406
1.7833333333333334,-0.0470652844627983
1.8,-0.01028940174951319
1.8166666666666667,0.032695707252752476
1.8333333333333333,0.06465298629640706
1.85,0.07999618103642957
1.8666666666666667,0.06860727880852335
1.8833333333333333,0.03411622382419114
1.9,-0.007941502838463186
1.9166666666666667,-0.045792180689462676
1.9333333333333333,-0.07511233626821671
1.95,-0.07826514383189481
1.9666666666666666,-0.06176907137257621
1.9833333333333334,-0.026841820821645327
2.0,0.01572414588790921
2.0166666666666666,0.0555666283449895
2.033333333333333,0.07681873705773638
2.05,0.07737166355450746
2.066666666666667,0.05647538773018127
2.0833333333333335,0.017751230717702595
2.1,-0.026395745825485078
2.1166666666666667,-0.06146739070007268
2.1333333333333333,-0.07916567673801198
2.15,-0.07253439435294247
2.1666666666666665,-0.045523691473153285
2.183333333333333,-0.010001395336822448
2.2,0.030019119054515854
2.216666666666667,0.06338815290892623
2.2333333333333334,0.07982507460691822
2.25,0.06445987397208187
2.2666666666666666,0.029446017899783735
2.283333333333333,-0.012197198449050664
2.3,-0.04797188828957632
2.316666666666667,-0.07624178149452818
2.3333333333333335,-0.07705312914192518
2.35,-0.05560637394784087
2.3666666666666667,-0.012629401588060103
2.3833333333333333,0.030523756522594567
2.4,0.0651415426402089
2.4166666666666665,0.07922477426061739
2.433333333333333,0.07334818951444741
2.45,0.047139555285065325
2.466666666666667,0.007200113659563241
2.4833333333333334,-0.03334069269959732
2.5,-0.06598527721460547
2.5166666666666666,-0.07993303247660494
2.533333333333333,-0.0709935396105638
2.55,-0.04056105558144576
2.566666666666667,0.0030619698918297467
2.5833333333333335,0.044394743147938086
2.6,0.07263324447646415
2.6166666666666667,0.07913147185644709
2.6333333333333333,0.06233200099795079
2.65,0.032862346684300936
2.6666666666666665,-0.0037339486391352555
2.683333333333333,-0.04362026847691507
2.7,-0.0725797471218006
2.716666666666667,-0.07846990853416946
2.7333333333333334,-0.058758466162247724
2.75,-0.022485020986872325
2.7666666666666666,0.017075505860680528
2.783333333333333,0.05184871782621098
2.8,0.07499230088509819
2.816666666666667,0.07916851772114378
